id,freestyle_rating,cinematic_rating,obstacle_density,busyness
122555918,0.65,0.45,0.75,0.9
1022348832,0.75,0.55,0.9,0.0
44022018,0.5,0.4,0.7,0.0
824178787,0.45,0.5,0.5,0.6
42748822,0.5,0.2,0.7,0.9
49489534,0.6,0.65,0.8,0.9
1384932178,0.5,0.4,0.7,0.0
38345529,0.7,0.4,0.7,0.8
1033245964,0.65,0.6,0.7,0.2
1078762570,0.25,0.4,0.3,0.3
1080605931,0.7,0.5,0.8,0.9
760241769,0.8,0.6,0.5,0.4
229472768,0.2,0.1,0.3,0.0
1212378130,0.55,0.3,0.75,0.9
966871696,0.2,0.1,0.5,0.8
80892675,0.7,0.4,0.8,0.9
251194651,0.35,0.35,0.65,0.3
1311076032,0.1,0.2,0.5,0.1
583184475,0.35,0.5,0.6,0.15
688051726,0.35,0.2,0.6,0.9
1007576765,0.2,0.1,0.2,0.0
94254681,0.65,0.35,0.7,0.9
1311587965,0.55,0.2,0.7,0.9
1257147430,0.2,0.15,0.35,0.1
932901383,0.55,0.65,0.6,0.8
1118680960,0.6,0.4,0.7,0.4
294042266,0.8,0.5,0.8,0.9
1307705919,0.7,0.45,0.8,0.9
498866032,0.45,0.35,0.55,0.85
790825931,0.2,0.1,0.4,0.0
839494517,0.4,0.4,0.7,0.3
146670631,0.5,0.4,0.55,0.85
30950625,0.35,0.3,0.45,0.8
444921824,0.5,0.4,0.5,0.2
156790939,0.2,0.1,0.3,0.8
1017347667,0.4,0.4,0.5,0.8
470463641,0.35,0.4,0.55,0.8
236864780,0.6,0.5,0.75,0.85
103917159,0.3,0.4,0.55,0.1
206896902,0.4,0.4,0.8,0.0
946841824,0.6,0.5,0.8,0.8
42740476,0.55,0.45,0.75,0.85
851558884,0.6,0.5,0.8,0.2
923973611,0.3,0.45,0.6,0.85
912899264,0.2,0.45,0.1,0.0
102789706,0.7,0.5,0.4,0.0
1419372974,0.3,0.4,0.6,0.8
1270623916,0.2,0.25,0.5,0.4
32965194,0.4,0.3,0.7,0.1
446644365,0.4,0.4,0.6,0.3
84924482,0.45,0.4,0.7,0.8
1173515252,0.45,0.6,0.3,0.8
498037666,0.6,0.7,0.6,0.1
840681149,0.4,0.25,0.55,0.8
42195308,0.5,0.5,0.55,0.3
906883558,0.15,0.1,0.5,0.9
1019456945,0.6,0.25,0.85,0.9
860441729,0.3,0.4,0.8,0.0
1036061104,0.45,0.35,0.5,0.6
1054026800,0.75,0.6,0.85,0.9
70568131,0.4,0.2,0.6,0.3
298449436,0.4,0.1,0.6,0.9
29908585,0.75,0.35,0.7,0.9
377046934,0.4,0.5,0.3,0.1
1370883834,0.3,0.3,0.5,0.8
164058249,0.35,0.4,0.5,0.3
148760924,0.35,0.2,0.55,0.8
1743877,0.55,0.35,0.8,0.9
49223913,0.55,0.15,0.6,0.9
1339096621,0.3,0.1,0.4,0.8
974782606,0.6,0.4,0.9,0.05
46257196,0.8,0.5,0.75,0.9
1095696709,0.2,0.2,0.6,0.9
549953344,0.3,0.2,0.4,0.5
234940797,0.85,0.75,0.65,0.6
309057508,0.5,0.4,0.6,0.8
132379900,0.45,0.5,0.65,0.1
52521276,0.75,0.4,0.75,0.9
175759651,0.65,0.55,0.9,0.05
688060167,0.4,0.3,0.5,0.8
961150592,0.2,0.3,0.5,0.6
1209433843,0.5,0.45,0.75,0.2
1312188457,0.6,0.4,0.7,0.8
1021807114,0.78,0.7,1.0,0.3
236061222,0.1,0.1,0.1,0.0
1312844121,0.7,0.5,0.8,0.3
1475708859,0.55,0.2,0.7,0.8
986252707,0.7,0.65,0.65,0.8
729371427,0.3,0.25,0.5,0.3
663656894,0.65,0.25,0.7,0.85
324251607,0.3,0.4,0.6,0.8
30240388,0.6,0.4,1.0,0.1
976665070,0.7,0.4,0.7,0.8
875741413,0.45,0.4,0.7,0.8
360946828,0.4,0.3,0.7,0.8
262080412,0.6,0.1,0.75,0.9
914009297,0.35,0.45,0.65,0.9
281536874,0.6,0.4,0.7,0.8
421837646,0.6,0.5,0.85,0.3
238318005,0.2,0.1,0.4,0.1
377727269,0.7,0.65,0.75,0.6
672126777,0.7,0.7,0.65,0.8
159183906,0.4,0.1,0.5,0.1
469210668,0.45,0.4,0.6,0.5
1173616641,0.3,0.3,0.4,0.0
1317114086,0.5,0.45,0.75,0.8
449105306,0.5,0.5,0.7,0.8
1198901735,0.4,0.5,0.6,0.6
1512055775,0.2,0.4,0.5,0.3
700427896,0.6,0.4,0.75,0.8
94443686,0.45,0.25,0.55,0.8
159931469,0.25,0.2,0.4,0.3
931020526,0.45,0.1,0.55,0.8
709885910,0.85,0.75,0.9,0.85
25952757,0.5,0.2,0.6,0.85
1208598841,0.3,0.2,0.5,0.3
895847544,0.65,0.55,0.6,0.1
724787926,0.45,0.5,0.7,0.1
41514116,0.55,0.4,0.8,0.9
110357385,0.6,0.7,0.55,0.0
52125346,0.7,0.4,0.8,0.9
616271012,0.55,0.45,0.75,0.8
417411220,0.4,0.1,0.55,0.85
217748127,0.45,0.2,0.6,0.3
1314805242,0.1,0.1,0.1,0.0
1295949841,0.8,0.5,1.0,0.1
1030808656,0.45,0.4,0.55,0.3
1426689268,0.45,0.4,0.8,0.25
806819977,0.45,0.4,0.9,0.1
896257805,0.55,0.2,0.6,0.1
13988208,0.45,0.3,0.6,0.0
231738114,0.2,0.1,0.3,0.3
1451171993,0.8,0.65,0.7,0.1
27747273,0.65,0.35,0.85,0.95
672068309,0.65,0.35,0.85,0.8
1315289627,0.45,0.4,0.65,0.3
101570175,0.35,0.35,0.55,0.9
37942756,0.65,0.4,0.8,0.9
1369046783,0.25,0.4,0.45,0.0
24164479,0.75,0.45,0.7,0.55
1013117206,0.75,0.5,0.5,0.3
183817889,0.6,0.5,0.7,0.0
1089857746,0.6,0.35,0.7,0.85
177125860,0.55,0.4,0.8,0.9
136457634,0.75,0.6,0.7,0.9
112325741,0.75,0.7,0.6,0.6
581019669,0.4,0.5,0.5,0.0
279831126,0.4,0.4,0.5,0.8
223292621,0.7,0.4,0.7,0.85
178977528,0.75,0.55,0.7,0.85
591308367,0.25,0.4,0.5,0.0
482043659,0.3,0.4,0.8,0.0
68335849,0.75,0.5,0.7,0.9
840485376,0.35,0.45,0.7,0.0
248353507,0.75,0.55,1.0,0.3
886795858,0.65,0.35,0.55,0.8
1297382134,0.2,0.1,0.15,0.0
58794460,0.6,0.6,0.8,0.9
556819989,0.2,0.4,0.5,0.1
690052244,0.6,0.4,0.8,0.3
196676367,0.55,0.45,0.75,0.9
1459549369,0.35,0.6,0.3,0.3
312748455,0.75,0.5,0.55,0.8
206088817,0.45,0.5,0.7,0.3
1110408810,0.6,0.5,0.7,0.6
1418113823,0.6,0.1,0.8,0.9
97777185,0.65,0.45,0.75,0.85
440013114,0.4,0.4,0.5,0.6
340533837,0.6,0.1,0.6,0.8
958136628,0.55,0.45,0.65,0.8
818881883,0.25,0.15,0.5,0.85
1188474588,0.7,0.45,0.55,0.8
1106919234,0.6,0.4,0.85,0.8
857854345,0.6,0.5,0.8,0.9
1380430147,0.7,0.5,0.6,0.3
38259511,0.5,0.4,0.65,0.3
22814080,0.8,0.6,0.9,0.9
835546055,0.2,0.1,0.6,0.8
119217448,0.6,0.45,0.5,0.85
763091873,0.7,0.6,0.7,0.8
1092316804,0.4,0.3,0.5,0.8
349640631,0.75,0.1,0.6,0.8
118387446,0.6,0.2,0.8,0.9
14823057,0.7,0.5,0.85,0.6
174016821,0.3,0.2,0.5,0.8
671015558,0.65,0.35,0.75,0.85
50551814,0.55,0.4,0.75,0.85
244221436,0.6,0.4,0.7,0.9
307232439,0.6,0.4,0.4,0.1
178692721,0.65,0.55,0.8,0.9
217711468,0.65,0.5,0.75,0.85
38116317,0.7,0.5,0.75,0.9
181338972,0.15,0.1,0.3,0.05
965355758,0.35,0.4,0.5,0.3
134519281,0.45,0.35,0.95,0.1
1069689674,0.35,0.25,0.45,0.15
810461367,0.2,0.35,0.5,0.6
1043381501,0.75,0.5,0.85,0.95
105928671,0.45,0.15,0.65,0.85
1176194562,0.35,0.3,0.65,0.85
1282810553,0.45,0.25,0.5,0.05
281584194,0.2,0.4,0.6,0.0
59940066,0.6,0.45,0.7,0.85
1308423327,0.6,0.45,0.65,0.85
962642003,0.55,0.4,0.55,0.85
1416778256,0.45,0.4,0.85,0.8
299205478,0.1,0.1,0.1,0.0
653198926,0.75,0.65,0.7,0.9
43159713,0.7,0.4,0.7,0.9
204280731,0.65,0.35,0.8,0.85
39255341,0.7,0.5,1.0,0.9
290030513,0.7,0.55,0.85,0.9
90323656,0.45,0.4,0.75,0.8
276923283,0.7,0.4,0.85,0.9
432150991,0.2,0.1,0.4,0.3
70540064,0.55,0.4,0.9,0.0
1464195367,0.7,0.45,0.85,0.9
918332712,0.55,0.4,0.5,0.2
1214824256,0.75,0.4,0.55,0.85
1259495755,0.5,0.45,0.7,0.05
199889764,0.1,0.1,0.5,0.6
502154367,0.7,0.5,0.95,0.1
514170840,0.65,0.2,0.7,0.9
712939565,0.55,0.35,0.75,0.8
1086375648,0.4,0.45,0.55,0.0
1211252278,0.4,0.1,0.6,0.9
1054252526,0.35,0.15,0.4,0.0
366676288,0.6,0.3,0.5,0.6
338882222,0.35,0.2,0.7,0.6
838641412,0.7,0.5,0.75,0.85
1095738267,0.35,0.35,0.45,0.05
1194337130,0.25,0.45,0.6,0.85
1065191040,0.2,0.1,0.2,0.1
369399370,0.6,0.25,0.75,0.9
